fips,year,permits
01001,2018,185
01001,2019,242
01001,2020,332
01001,2021,277
01001,2022,210
01001,2023,260
01003,2022,3412
01003,2023,4368
01005,2022,20
01005,2023,64
01007,2018,13
01007,2019,17
01007,2020,37
01007,2021,10
01007,2022,9
01007,2023,4
01009,2018,12
01009,2019,29
01009,2020,23
01009,2021,26
01009,2022,21
01009,2023,20
01011,2022,0
01011,2023,0
01013,2022,3
01013,2023,0
01015,2022,76
01015,2023,57
01017,2022,15
01017,2023,29
01019,2022,55
01019,2023,11
01021,2018,95
01021,2019,31
01021,2020,41
01021,2021,150
01021,2022,163
01021,2023,24
01023,2022,0
01023,2023,0
01025,2022,3
01025,2023,1
01027,2022,4
01027,2023,15
01029,2022,0
01029,2023,2
01031,2022,172
01031,2023,130
01033,2022,100
01033,2023,80
01035,2022,0
01035,2023,1
01037,2022,0
01037,2023,0
01039,2022,9
01039,2023,13
01041,2022,2
01041,2023,0
01043,2022,302
01043,2023,210
01045,2022,36
01045,2023,49
01047,2022,21
01047,2023,8
01049,2022,59
01049,2023,99
01051,2022,95
01051,2023,86
01053,2022,13
01053,2023,21
01055,2022,150
01055,2023,122
01057,2022,0
01057,2023,0
01059,2022,15
01059,2023,12
01061,2022,30
01061,2023,26
01063,2022,6
01063,2023,10
01065,2022,112
01065,2023,26
01067,2022,26
01067,2023,28
01069,2022,425
01069,2023,426
01071,2022,47
01071,2023,42
01073,2018,1657
01073,2019,1651
01073,2020,1897
01073,2021,2118
01073,2022,2681
01073,2023,1853
01075,2021,0
01075,2022,0
01075,2023,0
01077,2022,176
01077,2023,116
01079,2022,9
01079,2023,9
01081,2018,1131
01081,2019,2091
01081,2020,2221
01081,2021,1851
01081,2022,2272
01081,2023,1403
01083,2018,156
01083,2019,283
01083,2020,423
01083,2021,631
01083,2022,852
01083,2023,490
01085,2022,0
01085,2023,0
01087,2022,9
01087,2023,3
01089,2018,2771
01089,2019,3234
01089,2020,3919
01089,2021,5587
01089,2022,3184
01089,2023,5453
01091,2022,0
01091,2023,0
01093,2022,46
01093,2023,1
01095,2022,173
01095,2023,148
01097,2022,751
01097,2023,905
01099,2022,0
01099,2023,5
01101,2022,500
01101,2023,491
01103,2022,263
01103,2023,296
01105,2022,0
01105,2023,0
01107,2022,7
01107,2023,4
01109,2022,58
01109,2023,55
01111,2022,0
01111,2023,0
01113,2018,261
01113,2019,165
01113,2020,222
01113,2021,186
01113,2022,335
01113,2023,169
01115,2018,198
01115,2019,244
01115,2020,389
01115,2021,517
01115,2022,378
01115,2023,472
01117,2018,1015
01117,2019,1047
01117,2020,1489
01117,2021,1147
01117,2022,920
01117,2023,914
01119,2022,3
01119,2023,2
01121,2022,128
01121,2023,186
01123,2022,200
01123,2023,204
01125,2022,931
01125,2023,656
01127,2018,5
01127,2019,30
01127,2020,51
01127,2021,38
01127,2022,55
01127,2023,60
01129,2022,1
01129,2023,0
01131,2022,0
01131,2023,1
01133,2022,3
01133,2023,0
02013,2018,4
02013,2019,0
02013,2020,0
02013,2021,1
02013,2022,0
02013,2023,0
02016,2018,7
02016,2019,4
02016,2020,5
02016,2021,4
02016,2022,3
02016,2023,0
02020,2018,1083
02020,2019,1059
02020,2020,970
02020,2021,1133
02020,2022,963
02020,2023,215
02050,2018,1
02050,2019,15
02050,2020,15
02050,2021,20
02050,2022,14
02050,2023,45
02060,2018,2
02060,2019,8
02060,2020,1
02060,2021,4
02060,2022,0
02060,2023,3
02063,2023,12
02070,2018,3
02070,2019,2
02070,2020,0
02070,2021,0
02070,2022,0
02070,2023,0
02090,2018,13
02090,2019,23
