fips,year,rent,rent_months,log_rent,d_log_rent
01001,2021,1509.127546262817,3,7.319286978895602,
01001,2022,1556.498572082841,12,7.350194072491484,0.030907093595882174
01001,2023,1632.3111102665805,12,7.3977521486470135,0.04755807615552943
01001,2024,1741.644395940737,12,7.462585001063475,0.06483285241646186
01001,2025,1800.0258861604132,12,7.495556324981077,0.032971323917601936
01001,2026,1857.4465987925164,4,7.526958027210965,0.03140170222988736
01003,2015,1014.6831025489926,11,6.92233162848943,
01003,2016,1043.7412395913525,12,6.950566882923952,0.028235254434521906
01003,2017,1082.8625761737114,12,6.987363347143184,0.03679646421923177
01003,2018,1109.165199552716,12,7.0113629388829715,0.023999591739787718
01003,2019,1156.5270496548271,12,7.053176870636904,0.04181393175393211
01003,2020,1206.1202651812746,12,7.095164094687719,0.04198722405081501
01003,2021,1398.020494933953,12,7.242812582867951,0.14764848818023246
01003,2022,1548.9446341363544,12,7.345329096806062,0.10251651393811123
01003,2023,1599.9577226146369,12,7.377732484512918,0.03240338770685547
01003,2024,1620.2488972663223,12,7.390335056712823,0.01260257219990546
01003,2025,1644.2355122363203,12,7.405030820974218,0.014695764261395183
01003,2026,1661.2381183253467,4,7.415318457752274,0.010287636778055997
01009,2026,1434.719424644903,2,7.26872458618109,
01015,2023,869.4868049434249,9,6.767903158225969,
01015,2024,913.4236583761971,12,6.817199801856448,0.049296643630479586
01015,2025,946.2682609888411,12,6.852526102836351,0.03532630097990275
01015,2026,974.5750171861216,4,6.882001496165524,0.029475393329172483
01021,2025,1374.1092222321086,10,7.2255609617860665,
01021,2026,1404.7403253064715,4,7.247607742840256,0.02204678105418978
01031,2015,803.0530064285507,12,6.688420722264492,
01031,2016,812.535592171676,12,6.700159718994204,0.011738996729712348
01031,2017,836.2765286217767,12,6.728959334253796,0.02879961525959196
01031,2018,851.8944269868384,12,6.747462607164312,0.018503272910516344
01031,2019,889.6414526654195,12,6.790818519381733,0.043355912217420745
01031,2020,938.4950085083888,12,6.844277537427858,0.05345901804612474
01031,2021,1058.7253980268695,12,6.964821008885773,0.120543471457915
01031,2022,1197.824075625156,12,7.088261919499089,0.12344091061331586
01031,2023,1265.291870659838,12,7.143058102342395,0.05479618284330634
01031,2024,1310.3062837453433,12,7.17801619325297,0.03495809091057467
01031,2025,1359.9788417998827,12,7.215224421108992,0.037208227856022624
01031,2026,1382.7744662122757,4,7.23184724259804,0.016622821489047368
01033,2023,937.0812441797824,7,6.842769985181622,
01033,2024,976.8366451036476,12,6.884319437555182,0.04154945237355978
01033,2025,1026.9005467821228,12,6.934300366663084,0.049980929107902305
01033,2026,1063.8844639027889,4,6.969682077448113,0.03538171078502916
01043,2024,1301.4020121613987,12,7.171197433211063,
01043,2025,1336.7736206915815,12,7.198014243911423,0.02681681070036035
01043,2026,1371.3363964901666,4,7.223541015249274,0.02552677133785064
01045,2023,1253.8083816067315,9,7.133940903780621,
01045,2024,1300.6155684123453,12,7.170592945540516,0.036652041759895226
01045,2025,1382.1892092442488,12,7.231423904684444,0.060830959143928
01045,2026,1387.4220910749525,4,7.2352026934674765,0.003778788783032283
01051,2022,1188.8514927057763,10,7.080742987885609,
01051,2023,1256.6340088290933,12,7.136192003767105,0.05544901588149642
01051,2024,1338.3711257392188,12,7.199208575724431,0.06301657195732613
01051,2025,1411.3635952267623,12,7.252311604856409,0.05310302913197784
01051,2026,1450.4316151698952,4,7.279616456755405,0.027304851898995786
01055,2024,1047.6193764333868,5,6.954275608485213,
01055,2025,1088.3763309690582,12,6.992442260043687,0.03816665155847332
01055,2026,1121.8308110808841,3,7.022717282449318,0.030275022405631624
01069,2022,1050.7739441636083,1,6.9572822613140115,
01069,2023,1078.8610068411663,12,6.983661140316597,0.02637887900258562
01069,2024,1129.2567767698013,12,7.029314975641171,0.04565383532457368
01069,2025,1183.184019160449,12,7.0759644048486905,0.04664942920751969
01069,2026,1207.8909831889728,4,7.0966311287178785,0.020666723869187997
01071,2026,1227.7444752359656,2,7.112934004999611,
01073,2015,874.8638022450106,12,6.774068219665053,
01073,2016,893.8441604470845,12,6.795531442805227,0.02146322314017368
01073,2017,912.1284417520136,12,6.815780815412379,0.020249372607151983
01073,2018,946.5846958510259,12,6.852860449848347,0.03707963443596807
01073,2019,983.7378081274945,12,6.8913594063917865,0.03849895654343971
01073,2020,1022.5667191257256,12,6.930071136766909,0.03871173037512232
01073,2021,1105.2955888882318,12,7.00786807943609,0.07779694266918113
01073,2022,1199.5507452139743,12,7.089702386690428,0.08183430725433816
01073,2023,1258.9471939433104,12,7.138031090307938,0.04832870361750974
01073,2024,1303.547243486467,12,7.172844476281383,0.034813385973444966
01073,2025,1339.8292871356298,12,7.200297487169208,0.027453010887825258
01073,2026,1346.1140725110567,4,7.204977255878929,0.004679768709721088
01077,2023,1131.8285455272849,10,7.031589785743335,
01077,2024,1196.5679410667683,12,7.0872126889095535,0.05562290316621876
01077,2025,1251.5462204501566,12,7.132135042231533,0.04492235332197936
01077,2026,1273.6200642474423,4,7.1496185689291565,0.017483526697623653
01081,2015,870.0223961274654,8,6.76851895399254,
01081,2016,978.4429428103881,11,6.8859624742625964,0.11744352027005611
01081,2017,1010.6572810736349,12,6.918356171514391,0.03239369725179486
01081,2018,1071.848376630306,12,6.977139891916672,0.05878372040228097
01081,2019,1124.567932186364,12,7.025154180589696,0.048014288673023486
01081,2020,1153.8245457353498,12,7.050837395418094,0.025683214828398526
01081,2021,1233.8515115060618,12,7.117895866192609,0.06705847077451477
01081,2022,1343.3322105974792,12,7.202908530488755,0.08501266429614596
01081,2023,1443.3395440901961,12,7.274714835383969,0.07180630489521356
01081,2024,1561.0795813917418,12,7.35313290024845,0.078418064864481
01081,2025,1666.3503145889172,12,7.418391073485044,0.065258173236594
01081,2026,1725.0066774323325,4,7.452986200433233,0.034595126948189225
01083,2020,1155.3756330829387,2,7.052180793530644,
01083,2021,1247.6183831539774,12,7.128991719439116,0.0768109259084726
01083,2022,1340.7744731578584,12,7.201002691030666,0.07201097159155001
01083,2023,1409.705883910502,12,7.251136368642399,0.05013367761173271
01083,2024,1467.380556049253,12,7.291234155578265,0.040097786935866075
01083,2025,1495.88231238357,12,7.310471487247117,0.019237331668851887
01083,2026,1509.5710872908228,4,7.31958084130788,0.00910935406076252
01089,2015,747.9166711000812,12,6.617291569496165,
01089,2016,766.3476969874763,12,6.641635979269756,0.024344409773591202
01089,2017,792.1112641502235,12,6.674701866985488,0.03306588771573171
01089,2018,838.0371775927434,12,6.731062464167145,0.056360597181657646
01089,2019,902.4913268244203,12,6.805159079994011,0.07409661582686589
01089,2020,1012.1798620634669,12,6.919861563367154,0.1147024833731427
01089,2021,1166.3316072683594,12,7.06161872379139,0.1417571604242358
01089,2022,1277.5812782995897,12,7.152723942989106,0.09110521919771664
01089,2023,1323.93324728662,12,7.188362317768715,0.03563837477960874
01089,2024,1335.557513997366,12,7.197104097139283,0.008741779370567748
01089,2025,1344.1787724876515,12,7.20353852748114,0.006434430341856867
01089,2026,1361.7820822198437,4,7.216549475538194,0.013010948057054605
01097,2015,728.2287739941426,12,6.590615248822453,
01097,2016,751.0753652820528,12,6.621505999967504,0.030890751145051354
01097,2017,775.1320557885125,12,6.6530334094036645,0.03152740943616017
01097,2018,799.136005406028,12,6.683531150812524,0.03049774140885919
01097,2019,833.8390224185786,12,6.726040365045484,0.04250921423296017
01097,2020,858.5331676329027,12,6.755225313991827,0.029184948946342715
01097,2021,969.471109141584,12,6.8767506744878695,0.1215253604960429
01097,2022,1074.3899951941773,12,6.9795083331721655,0.10275765868429598
01097,2023,1170.139071761995,12,7.064877885481788,0.08536955230962295
01097,2024,1225.1438056217476,12,7.110813508433169,0.04593562295138032
01097,2025,1267.4461539577762,12,7.144759252478354,0.03394574404518558
01097,2026,1294.5958330926187,4,7.165953827422944,0.021194574944590094
01101,2015,851.9704329487354,12,6.7475518231153355,
01101,2016,855.3753629328654,12,6.7515403935693605,0.003988570454025009
01101,2017,868.2819229762948,12,6.766516457981169,0.01497606441180821
01101,2018,884.9101165650201,12,6.785486076646671,0.018969618665502175
01101,2019,902.8518799434595,12,6.8055585088920525,0.020072432245381577
01101,2020,936.8792280970036,12,6.842554381825469,0.03699587293341633
01101,2021,1024.6419951515293,12,6.9320985575395815,0.08954417571411266
01101,2022,1133.5643329095208,12,7.033122224322486,0.10102366678290409
01101,2023,1182.161360157056,12,7.075099703164061,0.04197747884157543
01101,2024,1245.7192101605112,12,7.127468320950401,0.05236861778633983
01101,2025,1302.84515046695,12,7.172305729285245,0.0448374083348444
01101,2026,1325.7082332484374,4,7.18970211127691,0.01739638199166471
01103,2022,937.1875146497235,10,6.84288338457491,
01103,2023,1012.5193126140626,12,6.920196872985513,0.07731348841060282
01103,2024,1063.2118291639863,12,6.969049633337882,0.04885276035236874
01103,2025,1099.2844586923677,12,7.002414755026835,0.033365121688953
01103,2026,1108.6504056570288,4,7.010898703800737,0.008483948773902128
01109,2025,1111.8356623193656,3,7.013767678205124,
01109,2026,1115.1671277192913,4,7.016759562992989,0.00299188478786494
01113,2022,1209.355798176198,5,7.097843098615052,
01113,2023,1228.484656124008,12,7.113536701955686,0.015693603340634077
01113,2024,1292.5379003013288,12,7.164362929203211,0.050826227247524614
01113,2025,1358.3924639823686,12,7.214057267825535,0.04969433862232364
