fips,year,rent,rent_months,log_rent,d_log_rent,gross_inflow,gross_outflow,nonmigrant_exemptions,net_migration,irs_population_base,population_lag,net_mig_share,gross_inflow_share
01001,2021,1509.127546262817,3,7.319286978895602,,4495.0,4065.0,40564.0,430.0,44629.0,44629.0,0.009634990701113625,0.1007192632593157
01001,2022,1556.498572082841,12,7.350194072491484,0.030907093595882174,4489.0,4040.0,41562.0,449.0,45602.0,45602.0,0.009846059383360379,0.09843866497083462
01001,2023,1632.3111102665805,12,7.3977521486470135,0.04755807615552943,4345.0,3759.0,43150.0,586.0,46909.0,46909.0,0.012492272271845488,0.09262614850028779
01001,2024,1741.644395940737,12,7.462585001063475,0.06483285241646186,,,,,,,,
01001,2025,1800.0258861604132,12,7.495556324981077,0.032971323917601936,,,,,,,,
01001,2026,1857.4465987925164,4,7.526958027210965,0.03140170222988736,,,,,,,,
01003,2015,1014.6831025489926,11,6.92233162848943,,,,,,,,,
01003,2016,1043.7412395913525,12,6.950566882923952,0.028235254434521906,,,,,,,,
01003,2017,1082.8625761737114,12,6.987363347143184,0.03679646421923177,,,,,,,,
01003,2018,1109.165199552716,12,7.0113629388829715,0.023999591739787718,,,,,,,,
01003,2019,1156.5270496548271,12,7.053176870636904,0.04181393175393211,,,,,,,,
01003,2020,1206.1202651812746,12,7.095164094687719,0.04198722405081501,14892.0,9137.0,165933.0,5755.0,175070.0,175070.0,0.032872565259610444,0.08506311761009881
01003,2021,1398.020494933953,12,7.242812582867951,0.14764848818023246,15440.0,9327.0,163060.0,6113.0,172387.0,172387.0,0.035460910625511204,0.0895659185437417
01003,2022,1548.9446341363544,12,7.345329096806062,0.10251651393811123,14916.0,9097.0,172625.0,5819.0,181722.0,181722.0,0.032021439341411606,0.08208142107174696
01003,2023,1599.9577226146369,12,7.377732484512918,0.03240338770685547,14151.0,9479.0,180763.0,4672.0,190242.0,190242.0,0.024558194299891718,0.07438420538051535
01003,2024,1620.2488972663223,12,7.390335056712823,0.01260257219990546,,,,,,,,
01003,2025,1644.2355122363203,12,7.405030820974218,0.014695764261395183,,,,,,,,
01003,2026,1661.2381183253467,4,7.415318457752274,0.010287636778055997,,,,,,,,
01009,2026,1434.719424644903,2,7.26872458618109,,,,,,,,,
01015,2023,869.4868049434249,9,6.767903158225969,,4463.0,4237.0,79438.0,226.0,83675.0,83675.0,0.0027009262025694653,0.05333731700029878
01015,2024,913.4236583761971,12,6.817199801856448,0.049296643630479586,,,,,,,,
01015,2025,946.2682609888411,12,6.852526102836351,0.03532630097990275,,,,,,,,
01015,2026,974.5750171861216,4,6.882001496165524,0.029475393329172483,,,,,,,,
01021,2025,1374.1092222321086,10,7.2255609617860665,,,,,,,,,
01021,2026,1404.7403253064715,4,7.247607742840256,0.02204678105418978,,,,,,,,
01031,2015,803.0530064285507,12,6.688420722264492,,,,,,,,,
01031,2016,812.535592171676,12,6.700159718994204,0.011738996729712348,,,,,,,,
01031,2017,836.2765286217767,12,6.728959334253796,0.02879961525959196,,,,,,,,
01031,2018,851.8944269868384,12,6.747462607164312,0.018503272910516344,,,,,,,,
01031,2019,889.6414526654195,12,6.790818519381733,0.043355912217420745,,,,,,,,
01031,2020,938.4950085083888,12,6.844277537427858,0.05345901804612474,4544.0,4018.0,36614.0,526.0,40632.0,40632.0,0.01294546170506005,0.11183303799960623
01031,2021,1058.7253980268695,12,6.964821008885773,0.120543471457915,4148.0,3805.0,36054.0,343.0,39859.0,39859.0,0.008605333801650818,0.10406683559547404
01031,2022,1197.824075625156,12,7.088261919499089,0.12344091061331586,4286.0,3609.0,37027.0,677.0,40636.0,40636.0,0.016660104340978442,0.10547297962397874
01031,2023,1265.291870659838,12,7.143058102342395,0.05479618284330634,4129.0,3708.0,38460.0,421.0,42168.0,42168.0,0.009983874027698729,0.09791785239992411
01031,2024,1310.3062837453433,12,7.17801619325297,0.03495809091057467,,,,,,,,
01031,2025,1359.9788417998827,12,7.215224421108992,0.037208227856022624,,,,,,,,
01031,2026,1382.7744662122757,4,7.23184724259804,0.016622821489047368,,,,,,,,
